deal_value,calls,emails,meetings,stage,industry,company_size,won
5841.93,6,10,1,QUALIFIED,FINANCE,MEDIUM,0
878.34,5,9,2,LOST,TECHNOLOGY,SMALL,0
6418.32,6,0,0,CONTACTED,OTHER,MEDIUM,0
6291.4,3,2,0,NEW,TECHNOLOGY,MEDIUM,0
2793.8,9,20,5,WON,EDUCATION,MEDIUM,1
3166.82,2,8,0,QUALIFIED,FINANCE,SMALL,0
7969.24,11,2,0,CONTACTED,HEALTHCARE,MEDIUM,0
2945.14,2,1,1,NEW,HEALTHCARE,SMALL,0
4940.96,3,6,1,NEW,TECHNOLOGY,MEDIUM,0
890.91,0,0,0,NEW,OTHER,SMALL,0
8837.18,10,19,3,WON,OTHER,MEDIUM,1
1579.42,11,6,0,NEW,OTHER,SMALL,0
902.45,4,6,1,NEW,OTHER,SMALL,0
3554.68,4,10,2,NEW,HEALTHCARE,SMALL,0
17320.47,7,23,3,WON,OTHER,MEDIUM,1
1771.14,10,22,2,WON,TECHNOLOGY,SMALL,1
5321.77,0,12,0,NEW,TECHNOLOGY,SMALL,0
5191.56,4,2,1,CONTACTED,TECHNOLOGY,MEDIUM,0
1494.84,6,11,1,NEW,FINANCE,SMALL,0
14167.12,3,6,2,NEW,FINANCE,LARGE,0
69283.2,2,4,0,NEW,TECHNOLOGY,LARGE,0
3077.63,0,2,1,QUALIFIED,OTHER,MEDIUM,0
2611.38,0,14,1,NEW,FINANCE,SMALL,0
3513.97,5,6,0,CONTACTED,TECHNOLOGY,MEDIUM,0
1436.33,5,10,3,LOST,HEALTHCARE,SMALL,0
3026.39,2,5,1,NEW,TECHNOLOGY,SMALL,0
1495.15,3,6,0,CONTACTED,OTHER,SMALL,0
16591.46,8,3,0,LOST,TECHNOLOGY,LARGE,0
3185.62,8,2,0,LOST,OTHER,SMALL,0
12815.86,7,5,0,NEW,OTHER,MEDIUM,0
7235.93,0,9,0,LOST,TECHNOLOGY,MEDIUM,0
1303.25,4,11,2,LOST,TECHNOLOGY,SMALL,0
1400.66,0,1,0,CONTACTED,OTHER,SMALL,0
23293.76,0,0,0,CONTACTED,EDUCATION,LARGE,0
5958.4,6,5,1,NEW,EDUCATION,MEDIUM,0
2716.99,0,10,0,CONTACTED,OTHER,MEDIUM,0
2595.46,5,6,0,LOST,TECHNOLOGY,SMALL,0
1887.02,3,3,1,NEW,FINANCE,SMALL,0
766.74,3,5,0,LOST,TECHNOLOGY,SMALL,0
1136.3,0,5,0,NEW,OTHER,SMALL,0
1405.2,0,13,1,NEW,HEALTHCARE,SMALL,0
4704.55,4,8,0,CONTACTED,FINANCE,MEDIUM,0
4650.08,7,21,4,WON,TECHNOLOGY,SMALL,1
2036.7,6,7,0,NEW,FINANCE,SMALL,0
2967.68,6,5,0,LOST,FINANCE,MEDIUM,0
5610.41,1,0,0,CONTACTED,EDUCATION,MEDIUM,0
1516.19,0,9,0,NEW,HEALTHCARE,SMALL,0
5972.11,6,9,0,CONTACTED,OTHER,MEDIUM,0
2417.0,16,12,3,NEGOCIATION,FINANCE,SMALL,1
3309.71,4,8,1,CONTACTED,TECHNOLOGY,SMALL,0
1786.22,10,0,0,NEW,EDUCATION,SMALL,0
13139.47,2,5,1,CONTACTED,OTHER,MEDIUM,0
2846.97,15,22,3,WON,HEALTHCARE,SMALL,1
1269.38,2,0,1,LOST,OTHER,SMALL,0
5458.49,0,6,0,NEW,FINANCE,SMALL,0
5980.12,0,16,4,WON,HEALTHCARE,MEDIUM,1
1190.87,2,7,0,QUALIFIED,FINANCE,SMALL,0
4131.75,2,4,1,NEW,TECHNOLOGY,SMALL,0
5109.66,16,11,3,NEGOCIATION,TECHNOLOGY,SMALL,1
1778.43,8,5,0,CONTACTED,TECHNOLOGY,SMALL,0
3632.98,1,6,0,NEW,HEALTHCARE,MEDIUM,0
4431.86,0,4,0,LOST,FINANCE,MEDIUM,0
2584.7,2,8,1,CONTACTED,HEALTHCARE,SMALL,0
3425.25,4,12,1,CONTACTED,OTHER,SMALL,0
2404.85,0,7,1,LOST,TECHNOLOGY,SMALL,0
1902.38,6,23,6,NEGOCIATION,FINANCE,SMALL,1
3823.82,4,3,1,NEW,OTHER,SMALL,0
4073.66,4,3,3,NEW,TECHNOLOGY,MEDIUM,0
45326.34,0,6,0,CONTACTED,TECHNOLOGY,LARGE,0
18004.12,3,3,1,CONTACTED,TECHNOLOGY,LARGE,0
29783.69,3,4,1,NEW,TECHNOLOGY,LARGE,0
4591.04,4,5,0,NEW,OTHER,MEDIUM,0
4752.8,6,6,0,QUALIFIED,OTHER,MEDIUM,0
1497.13,2,0,1,LOST,HEALTHCARE,SMALL,0
11013.89,1,5,0,CONTACTED,OTHER,MEDIUM,0
1253.3,2,9,0,CONTACTED,OTHER,SMALL,0
1248.73,10,3,0,CONTACTED,TECHNOLOGY,SMALL,0
17546.26,3,8,0,NEW,OTHER,MEDIUM,0
2948.12,0,5,0,NEW,HEALTHCARE,SMALL,0
548.64,3,6,1,NEW,OTHER,SMALL,0
14828.69,3,11,2,LOST,OTHER,LARGE,0
730.7,1,8,2,NEW,FINANCE,SMALL,0
1124.01,5,2,0,NEW,TECHNOLOGY,SMALL,0
2448.03,2,8,0,LOST,TECHNOLOGY,LARGE,0
4526.96,3,7,1,NEW,FINANCE,MEDIUM,0
2477.08,3,5,1,LOST,OTHER,MEDIUM,0
1863.02,1,2,0,NEW,OTHER,SMALL,0
802.27,4,9,0,QUALIFIED,TECHNOLOGY,SMALL,0
23342.67,2,5,0,LOST,HEALTHCARE,LARGE,0
3831.65,0,12,0,NEW,FINANCE,MEDIUM,0
12102.55,14,21,0,NEGOCIATION,TECHNOLOGY,MEDIUM,1
3661.68,0,5,0,CONTACTED,TECHNOLOGY,SMALL,0
2677.59,17,15,0,WON,FINANCE,SMALL,1
17524.77,4,0,0,CONTACTED,OTHER,LARGE,0
4878.97,4,8,1,LOST,FINANCE,SMALL,0
1935.61,5,6,1,NEW,HEALTHCARE,MEDIUM,0
896.25,5,5,0,CONTACTED,EDUCATION,SMALL,0
4673.81,6,7,1,CONTACTED,FINANCE,MEDIUM,0
106705.36,1,6,0,CONTACTED,OTHER,LARGE,0
4352.9,3,5,0,NEW,OTHER,MEDIUM,0
1649.75,5,17,7,NEGOCIATION,TECHNOLOGY,SMALL,1
2069.07,1,13,0,NEW,FINANCE,MEDIUM,0
8669.43,0,2,0,QUALIFIED,FINANCE,MEDIUM,0
2911.98,0,4,0,CONTACTED,TECHNOLOGY,SMALL,0
38267.36,11,21,6,WON,TECHNOLOGY,LARGE,1
3369.32,0,4,2,CONTACTED,HEALTHCARE,MEDIUM,0
13430.79,11,7,1,NEW,HEALTHCARE,LARGE,0
2262.28,3,2,0,LOST,TECHNOLOGY,MEDIUM,0
1885.48,2,3,0,CONTACTED,TECHNOLOGY,SMALL,0
1053.42,4,5,0,QUALIFIED,OTHER,SMALL,0
1003.54,0,5,0,CONTACTED,TECHNOLOGY,SMALL,0
16373.45,5,7,0,CONTACTED,TECHNOLOGY,LARGE,0
3664.72,4,0,0,NEW,FINANCE,MEDIUM,0
3558.92,4,7,0,NEW,OTHER,MEDIUM,0
2282.95,8,8,1,NEW,TECHNOLOGY,SMALL,0
1880.93,5,4,0,CONTACTED,EDUCATION,SMALL,0
4134.44,0,3,0,LOST,OTHER,MEDIUM,0
1981.3,0,2,0,QUALIFIED,TECHNOLOGY,SMALL,0
1101.29,1,17,1,NEGOCIATION,EDUCATION,SMALL,1
5235.24,1,9,2,NEW,FINANCE,MEDIUM,0
1949.45,3,0,2,LOST,HEALTHCARE,SMALL,0
852.76,3,8,1,LOST,HEALTHCARE,SMALL,0
2974.55,3,3,2,CONTACTED,HEALTHCARE,SMALL,0
1163.61,14,11,6,WON,TECHNOLOGY,SMALL,1
23463.87,4,4,2,CONTACTED,OTHER,LARGE,0
3236.36,0,0,0,LOST,FINANCE,SMALL,0
2872.21,1,8,0,NEW,TECHNOLOGY,SMALL,0
1839.35,0,6,0,NEW,TECHNOLOGY,SMALL,0
3954.07,1,8,1,NEW,HEALTHCARE,MEDIUM,0
2903.74,0,12,1,NEW,EDUCATION,SMALL,0
7367.38,7,8,1,NEW,TECHNOLOGY,MEDIUM,0
1327.19,0,2,1,CONTACTED,HEALTHCARE,SMALL,0
1215.07,1,5,0,NEW,TECHNOLOGY,SMALL,0
641.51,1,2,0,LOST,HEALTHCARE,SMALL,0
5390.64,5,7,0,NEW,TECHNOLOGY,MEDIUM,0
20787.59,0,7,0,QUALIFIED,EDUCATION,LARGE,0
3191.02,3,11,0,NEW,FINANCE,SMALL,0
6096.27,1,10,0,CONTACTED,OTHER,MEDIUM,0
56047.81,3,8,1,CONTACTED,TECHNOLOGY,LARGE,0
1275.79,0,4,0,NEW,FINANCE,SMALL,0
9729.23,2,5,1,NEW,TECHNOLOGY,MEDIUM,0
1387.89,5,5,0,LOST,OTHER,SMALL,0
37961.1,0,6,0,LOST,OTHER,LARGE,0
2048.26,0,3,0,LOST,TECHNOLOGY,MEDIUM,0
25967.34,9,7,0,NEW,EDUCATION,LARGE,0
1493.96,0,5,0,NEW,OTHER,MEDIUM,0
1581.98,2,3,0,CONTACTED,HEALTHCARE,SMALL,0
29978.86,1,4,0,NEW,HEALTHCARE,LARGE,0
1393.42,2,4,0,CONTACTED,TECHNOLOGY,SMALL,0
1069.32,6,2,0,NEW,TECHNOLOGY,SMALL,0
8165.48,0,4,0,LOST,OTHER,MEDIUM,0
4618.95,3,0,0,NEW,OTHER,MEDIUM,0
15635.52,4,3,0,CONTACTED,HEALTHCARE,LARGE,0
1846.32,0,13,0,LOST,FINANCE,SMALL,0
23908.79,10,6,0,NEW,FINANCE,MEDIUM,0
9819.27,3,13,0,LOST,EDUCATION,MEDIUM,0
3233.39,14,16,3,WON,OTHER,SMALL,1
2247.95,5,5,3,CONTACTED,OTHER,SMALL,0
1964.99,0,3,0,CONTACTED,OTHER,SMALL,0
545.64,9,5,0,LOST,HEALTHCARE,SMALL,0
13694.01,0,6,0,QUALIFIED,TECHNOLOGY,LARGE,0
3683.64,2,5,1,CONTACTED,TECHNOLOGY,MEDIUM,0
1595.7,5,0,1,NEW,OTHER,MEDIUM,0
9796.78,4,5,0,NEW,HEALTHCARE,LARGE,0
671.55,0,5,0,CONTACTED,TECHNOLOGY,SMALL,0
4803.05,3,3,2,LOST,TECHNOLOGY,MEDIUM,0
2722.71,6,5,0,NEW,EDUCATION,SMALL,0
47798.15,3,12,0,QUALIFIED,TECHNOLOGY,LARGE,0
2224.73,2,8,0,CONTACTED,TECHNOLOGY,SMALL,0
11221.9,0,8,0,NEW,HEALTHCARE,LARGE,0
688.12,5,1,1,NEW,EDUCATION,SMALL,0
751.12,0,9,0,CONTACTED,EDUCATION,SMALL,0
2295.28,13,16,3,NEGOCIATION,TECHNOLOGY,MEDIUM,1
1159.3,1,4,1,NEW,EDUCATION,SMALL,0
4465.56,0,0,0,CONTACTED,TECHNOLOGY,MEDIUM,0
1088.89,4,5,0,CONTACTED,FINANCE,SMALL,0
6023.27,3,13,1,LOST,EDUCATION,MEDIUM,0
1609.8,0,3,0,CONTACTED,HEALTHCARE,SMALL,0
1817.6,20,19,1,WON,OTHER,SMALL,1
3197.5,0,6,0,LOST,EDUCATION,SMALL,0
1002.13,6,6,0,LOST,HEALTHCARE,SMALL,0
2229.1,10,20,3,NEGOCIATION,TECHNOLOGY,SMALL,1
1795.45,5,5,0,CONTACTED,FINANCE,SMALL,0
1530.36,2,5,1,NEW,TECHNOLOGY,SMALL,0
2814.75,6,12,1,NEW,TECHNOLOGY,SMALL,0
8328.25,3,0,1,NEW,OTHER,MEDIUM,0
11355.49,5,6,1,QUALIFIED,FINANCE,LARGE,0
1650.64,4,3,0,CONTACTED,OTHER,SMALL,0
5818.09,2,7,1,LOST,HEALTHCARE,MEDIUM,0
4172.19,2,1,0,LOST,OTHER,MEDIUM,0
2422.39,7,7,0,CONTACTED,HEALTHCARE,SMALL,0
5818.02,0,0,0,CONTACTED,HEALTHCARE,MEDIUM,0
4520.06,0,1,0,LOST,FINANCE,SMALL,0
1962.22,3,0,0,CONTACTED,TECHNOLOGY,MEDIUM,0
1700.68,10,13,0,CONTACTED,EDUCATION,SMALL,0
2849.5,0,2,0,NEW,TECHNOLOGY,MEDIUM,0
7061.87,0,3,1,NEW,TECHNOLOGY,MEDIUM,0
805.46,1,3,1,NEW,HEALTHCARE,SMALL,0
2149.86,0,1,0,NEW,TECHNOLOGY,SMALL,0
14171.19,0,6,0,LOST,OTHER,LARGE,0
1252.53,0,0,0,NEW,OTHER,SMALL,0
2063.38,9,27,5,WON,OTHER,MEDIUM,1
15905.92,5,8,1,NEW,FINANCE,LARGE,0
9421.04,2,5,0,NEW,TECHNOLOGY,MEDIUM,0
4841.05,8,2,0,CONTACTED,OTHER,MEDIUM,0
7162.46,4,3,0,QUALIFIED,FINANCE,MEDIUM,0
70632.76,0,4,0,CONTACTED,OTHER,LARGE,0
2062.92,0,4,0,NEW,OTHER,SMALL,0
1367.31,5,7,0,NEW,OTHER,SMALL,0
2283.87,6,6,1,NEW,TECHNOLOGY,SMALL,0
15047.88,1,1,0,QUALIFIED,FINANCE,LARGE,0
3631.3,1,0,0,NEW,OTHER,MEDIUM,0
845.61,14,7,1,NEGOCIATION,FINANCE,SMALL,1
42124.31,17,18,5,PROPOSITION,TECHNOLOGY,LARGE,1
1490.7,4,4,0,NEW,HEALTHCARE,SMALL,0
1980.39,4,7,0,LOST,OTHER,SMALL,0
2639.71,2,1,2,CONTACTED,EDUCATION,MEDIUM,0
2248.4,1,1,0,NEW,HEALTHCARE,SMALL,0
12921.41,10,20,0,NEGOCIATION,TECHNOLOGY,LARGE,1
1684.37,15,15,1,NEGOCIATION,HEALTHCARE,SMALL,1
8322.31,4,0,0,LOST,OTHER,MEDIUM,0
7898.72,0,7,0,CONTACTED,TECHNOLOGY,MEDIUM,0
1788.24,4,2,1,CONTACTED,HEALTHCARE,SMALL,0
6388.84,0,6,0,LOST,OTHER,LARGE,0
29604.64,3,2,0,NEW,EDUCATION,MEDIUM,0
4328.3,2,3,0,CONTACTED,EDUCATION,SMALL,0
2594.99,5,0,0,NEW,EDUCATION,SMALL,0
13000.69,1,0,0,LOST,FINANCE,LARGE,0
1708.21,15,20,5,WON,TECHNOLOGY,SMALL,1
1377.86,1,6,0,LOST,OTHER,SMALL,0
3401.35,1,15,1,NEW,OTHER,SMALL,0
2061.63,4,9,1,LOST,OTHER,SMALL,0
3070.21,2,10,0,CONTACTED,OTHER,MEDIUM,0
1428.85,0,0,0,NEW,HEALTHCARE,SMALL,0
3167.17,8,1,0,NEW,HEALTHCARE,SMALL,0
4024.07,0,9,0,NEW,OTHER,SMALL,0
3882.23,2,6,0,CONTACTED,HEALTHCARE,SMALL,0
37418.57,1,5,0,NEW,EDUCATION,LARGE,0
1593.5,8,3,0,QUALIFIED,OTHER,SMALL,0
2277.74,4,2,1,CONTACTED,OTHER,LARGE,0
2097.66,0,6,1,NEW,FINANCE,SMALL,0
1806.39,8,6,1,QUALIFIED,FINANCE,SMALL,0
24294.07,4,6,1,CONTACTED,TECHNOLOGY,LARGE,0
1857.43,4,6,0,LOST,HEALTHCARE,SMALL,0
2217.74,0,7,0,LOST,TECHNOLOGY,MEDIUM,0
32538.72,0,7,0,LOST,FINANCE,LARGE,0
2480.23,6,4,0,NEW,HEALTHCARE,SMALL,0
2543.18,3,5,0,QUALIFIED,TECHNOLOGY,SMALL,0
8672.79,5,5,2,CONTACTED,HEALTHCARE,MEDIUM,0
2445.55,5,2,0,QUALIFIED,TECHNOLOGY,SMALL,0
1472.9,4,7,2,LOST,TECHNOLOGY,SMALL,0
1745.13,5,6,0,QUALIFIED,OTHER,SMALL,0
1892.33,13,23,4,NEGOCIATION,FINANCE,SMALL,1
5242.85,0,4,0,CONTACTED,TECHNOLOGY,MEDIUM,0
2978.3,4,6,1,NEW,HEALTHCARE,SMALL,0
2494.48,7,26,7,WON,OTHER,SMALL,1
17092.69,1,0,0,NEW,TECHNOLOGY,MEDIUM,0
5449.26,0,5,1,CONTACTED,HEALTHCARE,SMALL,0
1881.5,3,14,4,PROPOSITION,TECHNOLOGY,SMALL,1
491.77,0,6,0,NEW,TECHNOLOGY,MEDIUM,0
3355.7,0,0,0,NEW,HEALTHCARE,SMALL,0
3553.81,3,6,0,LOST,HEALTHCARE,MEDIUM,0
12568.65,3,0,1,NEW,HEALTHCARE,LARGE,0
1481.45,2,5,0,CONTACTED,EDUCATION,SMALL,0
3759.4,8,0,0,QUALIFIED,OTHER,MEDIUM,0
2455.62,2,6,0,NEW,HEALTHCARE,SMALL,0
829.05,5,3,0,NEW,FINANCE,SMALL,0
10358.84,6,0,1,LOST,OTHER,LARGE,0
28007.03,5,2,0,CONTACTED,TECHNOLOGY,LARGE,0
2468.76,5,9,1,QUALIFIED,FINANCE,SMALL,0
7222.27,4,6,0,CONTACTED,TECHNOLOGY,MEDIUM,0
12696.41,6,0,0,NEW,TECHNOLOGY,LARGE,0
11105.7,4,8,0,NEW,OTHER,LARGE,0
3626.48,9,15,2,WON,OTHER,MEDIUM,1
2038.43,4,0,1,NEW,EDUCATION,SMALL,0
3799.93,7,6,1,CONTACTED,FINANCE,SMALL,0
5254.26,6,7,0,QUALIFIED,TECHNOLOGY,LARGE,0
1619.12,0,8,2,NEW,TECHNOLOGY,SMALL,0
2209.22,5,1,1,CONTACTED,TECHNOLOGY,MEDIUM,0
791.46,2,6,2,QUALIFIED,HEALTHCARE,SMALL,0
2932.11,2,2,0,CONTACTED,EDUCATION,SMALL,0
2373.95,0,3,0,NEW,EDUCATION,SMALL,0
30170.0,6,8,0,NEW,TECHNOLOGY,LARGE,0
2865.54,10,17,2,WON,OTHER,SMALL,1
3685.53,3,2,0,NEW,EDUCATION,MEDIUM,0
1456.34,6,4,1,NEW,HEALTHCARE,SMALL,0
5393.04,0,3,0,LOST,HEALTHCARE,SMALL,0
1598.33,4,9,0,CONTACTED,FINANCE,SMALL,0
7639.44,3,12,0,QUALIFIED,TECHNOLOGY,MEDIUM,0
1813.82,0,6,0,QUALIFIED,FINANCE,SMALL,0
717.57,2,3,0,CONTACTED,OTHER,SMALL,0
650.46,1,5,0,CONTACTED,TECHNOLOGY,SMALL,0
1353.58,0,3,0,LOST,TECHNOLOGY,SMALL,0
46132.4,5,10,0,LOST,TECHNOLOGY,LARGE,0
38246.38,1,5,2,QUALIFIED,TECHNOLOGY,LARGE,0
2855.6,0,0,0,NEW,OTHER,SMALL,0
2718.33,6,3,0,CONTACTED,EDUCATION,MEDIUM,0
68262.15,0,1,1,NEW,FINANCE,LARGE,0
1116.05,5,25,5,WON,TECHNOLOGY,SMALL,1
5584.19,0,0,0,CONTACTED,FINANCE,MEDIUM,0
21867.43,0,10,0,QUALIFIED,FINANCE,LARGE,0
1657.5,4,7,0,LOST,TECHNOLOGY,SMALL,0
3530.86,0,1,0,CONTACTED,FINANCE,SMALL,0
13445.81,0,10,0,NEW,FINANCE,LARGE,0
2186.89,0,0,0,LOST,HEALTHCARE,MEDIUM,0
1826.21,5,10,2,CONTACTED,HEALTHCARE,SMALL,0
1480.43,15,8,5,WON,TECHNOLOGY,SMALL,1
9785.84,0,7,0,CONTACTED,FINANCE,SMALL,0
7375.39,2,9,0,NEW,HEALTHCARE,MEDIUM,0
3844.49,3,5,0,NEW,HEALTHCARE,MEDIUM,0
10516.72,3,3,1,CONTACTED,OTHER,LARGE,0
706.17,2,5,1,LOST,EDUCATION,SMALL,0
2656.78,5,5,0,CONTACTED,TECHNOLOGY,MEDIUM,0
5265.68,7,0,0,NEW,TECHNOLOGY,MEDIUM,0
3691.04,0,8,1,NEW,HEALTHCARE,SMALL,0
3167.96,0,13,0,NEW,TECHNOLOGY,SMALL,0
25857.77,7,8,0,NEW,HEALTHCARE,LARGE,0
17567.09,0,3,0,CONTACTED,OTHER,LARGE,0
2068.14,2,2,0,CONTACTED,HEALTHCARE,SMALL,0
3600.46,0,4,0,NEW,FINANCE,MEDIUM,0
4269.2,6,6,1,NEW,HEALTHCARE,SMALL,0
4387.37,3,0,0,CONTACTED,FINANCE,MEDIUM,0
4666.65,6,11,2,NEW,HEALTHCARE,MEDIUM,0
1300.5,0,10,0,CONTACTED,OTHER,MEDIUM,0
19210.18,7,9,0,CONTACTED,FINANCE,LARGE,0
8118.42,3,0,0,LOST,OTHER,MEDIUM,0
1060.12,9,6,0,NEW,OTHER,SMALL,0
3132.44,8,0,0,CONTACTED,TECHNOLOGY,MEDIUM,0
2687.47,18,25,0,NEGOCIATION,TECHNOLOGY,SMALL,1
864.09,7,1,0,NEW,TECHNOLOGY,SMALL,0
3068.37,9,17,0,WON,TECHNOLOGY,SMALL,1
1385.65,2,6,0,CONTACTED,TECHNOLOGY,SMALL,0
3892.7,6,18,1,NEGOCIATION,EDUCATION,MEDIUM,1
1030.77,0,5,0,QUALIFIED,TECHNOLOGY,SMALL,0
6166.14,4,4,1,CONTACTED,FINANCE,MEDIUM,0
21502.47,1,12,1,NEW,OTHER,MEDIUM,0
2672.44,2,5,1,CONTACTED,TECHNOLOGY,SMALL,0
2926.11,8,8,0,NEW,OTHER,MEDIUM,0
3190.11,13,21,5,WON,TECHNOLOGY,SMALL,1
1543.27,0,5,0,QUALIFIED,TECHNOLOGY,SMALL,0
11211.45,1,9,1,CONTACTED,EDUCATION,MEDIUM,0
2706.3,7,14,2,WON,HEALTHCARE,SMALL,1
415.06,4,7,0,CONTACTED,OTHER,SMALL,0
2690.69,1,3,0,QUALIFIED,EDUCATION,MEDIUM,0
8661.4,0,1,0,CONTACTED,OTHER,MEDIUM,0
1950.48,6,25,6,PROPOSITION,TECHNOLOGY,SMALL,1
10757.63,4,8,0,NEW,TECHNOLOGY,LARGE,0
3360.5,7,3,0,LOST,OTHER,MEDIUM,0
5800.12,10,7,0,CONTACTED,OTHER,LARGE,0
1729.89,4,4,0,NEW,OTHER,SMALL,0
18516.43,3,6,0,NEW,FINANCE,MEDIUM,0
38694.52,0,9,2,CONTACTED,FINANCE,LARGE,0
18292.57,5,6,0,LOST,OTHER,MEDIUM,0
8345.17,6,3,0,CONTACTED,FINANCE,MEDIUM,0
3022.2,11,14,6,NEGOCIATION,OTHER,SMALL,1
4851.48,5,7,1,QUALIFIED,OTHER,SMALL,0
2183.38,4,4,1,CONTACTED,FINANCE,SMALL,0
1646.47,21,24,3,WON,OTHER,SMALL,1
45381.52,3,3,0,CONTACTED,OTHER,LARGE,0
3740.3,3,6,0,QUALIFIED,TECHNOLOGY,SMALL,0
15741.01,4,6,0,NEW,OTHER,LARGE,0
13291.79,5,0,1,CONTACTED,HEALTHCARE,LARGE,0
1938.03,6,9,0,NEW,OTHER,SMALL,0
2740.1,0,10,0,QUALIFIED,FINANCE,SMALL,0
38509.63,15,12,1,WON,OTHER,LARGE,1
8128.1,6,4,0,NEW,FINANCE,LARGE,0
4702.28,8,4,0,CONTACTED,TECHNOLOGY,SMALL,0
1312.14,3,8,0,LOST,OTHER,SMALL,0
4192.12,5,6,0,NEW,TECHNOLOGY,MEDIUM,0
2859.52,6,0,0,QUALIFIED,FINANCE,MEDIUM,0
6968.56,10,11,4,PROPOSITION,OTHER,SMALL,1
5683.04,0,2,1,CONTACTED,OTHER,MEDIUM,0
1181.47,5,17,0,NEGOCIATION,HEALTHCARE,SMALL,1
2784.88,4,9,1,LOST,HEALTHCARE,SMALL,0
2655.98,0,7,1,CONTACTED,FINANCE,SMALL,0
1646.05,0,7,1,LOST,TECHNOLOGY,SMALL,0
2752.61,4,7,0,CONTACTED,FINANCE,SMALL,0
1196.74,19,13,5,WON,EDUCATION,SMALL,1
1413.1,15,28,5,WON,OTHER,SMALL,1
661.75,3,6,0,CONTACTED,OTHER,SMALL,0
932.64,6,6,1,LOST,OTHER,SMALL,0
78068.47,2,1,0,NEW,TECHNOLOGY,LARGE,0
4108.09,1,3,0,LOST,FINANCE,SMALL,0
1868.51,7,8,1,CONTACTED,TECHNOLOGY,SMALL,0
13329.82,3,5,1,LOST,HEALTHCARE,MEDIUM,0
19691.61,14,19,7,WON,FINANCE,LARGE,1
1600.86,5,5,0,CONTACTED,OTHER,SMALL,0
5084.27,0,1,0,LOST,FINANCE,MEDIUM,0
4559.86,4,0,0,CONTACTED,TECHNOLOGY,MEDIUM,0
4319.45,13,16,2,WON,TECHNOLOGY,MEDIUM,1
3202.54,9,18,3,NEGOCIATION,OTHER,SMALL,1
5378.05,8,0,1,QUALIFIED,HEALTHCARE,MEDIUM,0
2581.8,1,5,0,NEW,TECHNOLOGY,SMALL,0
9125.5,2,0,0,CONTACTED,TECHNOLOGY,MEDIUM,0
6203.76,4,1,0,CONTACTED,EDUCATION,MEDIUM,0
1113.06,5,4,0,CONTACTED,TECHNOLOGY,SMALL,0
2182.62,2,5,2,NEW,OTHER,MEDIUM,0
1947.67,7,9,0,LOST,EDUCATION,SMALL,0
4434.84,2,4,0,NEW,TECHNOLOGY,MEDIUM,0
1888.8,6,1,0,CONTACTED,TECHNOLOGY,SMALL,0
